11,Flux,Coupons
11,User Sessions,RAPT
11,Goods CIM GDP,Local Third Party Feed
11,FED,Performance
11,App Ops Support,Deal Platform
11,Connection,Funnel
11,Optimize,Users
11,Salesforce,Deal Estate
12,Tronicon,Ion
12,Supply Intel,Coupons
12,Bemod,RAPT
12,EDW,Local Third Party Feed
12,App Ops Dev,Performance
12,Flux,Deal Platform
12,User Sessions,Funnel
12,Goods CIM GDP,Users
12,FED,Deal Estate
12,App Ops Support,Salesforce
12,Connection,Optimize
13,Tronicon,Deal Platform
13,Performance,Funnel
13,Local Third Party Feed,Users
13,RAPT,Deal Estate
13,Coupons,Salesforce
13,Ion,Optimize
13,Supply Intel,Connection
13,Bemod,App Ops Support
13,EDW,FED
13,App Ops Dev,Goods CIM GDP
13,Flux,User Sessions
14,Tronicon,EDW
14,App Ops Dev,Bemod
14,Flux,Supply Intel
14,User Sessions,Ion
14,Goods CIM GDP,Coupons
14,FED,RAPT
14,App Ops Support,Local Third Party Feed
14,Connection,Performance
14,Optimize,Deal Platform
14,Salesforce,Funnel
14,Deal Estate,Users
15,Tronicon,Connection
15,Optimize,App Ops Support
15,Salesforce,FED
15,Deal Estate,Goods CIM GDP
15,Users,User Sessions
15,Funnel,Flux
15,Deal Platform,App Ops Dev
15,Performance,EDW
15,Local Third Party Feed,Bemod
15,RAPT,Supply Intel
15,Coupons,Ion
16,Tronicon,Flux
16,User Sessions,App Ops Dev
16,Goods CIM GDP,EDW
16,FED,Bemod
16,App Ops Support,Supply Intel
16,Connection,Ion
16,Optimize,Coupons
16,Salesforce,RAPT
16,Deal Estate,Local Third Party Feed
16,Users,Performance
16,Funnel,Deal Platform
17,Tronicon,Coupons
17,Ion,RAPT
17,Supply Intel,Local Third Party Feed
17,Bemod,Performance
17,EDW,Deal Platform
17,App Ops Dev,Funnel
17,Flux,Users
17,User Sessions,Deal Estate
17,Goods CIM GDP,Salesforce
17,FED,Optimize
17,App Ops Support,Connection
18,Tronicon,Funnel
18,Deal Platform,Users
18,Performance,Deal Estate
18,Local Third Party Feed,Salesforce
18,RAPT,Optimize
18,Coupons,Connection
18,Ion,App Ops Support
18,Supply Intel,FED
18,Bemod,Goods CIM GDP
18,EDW,User Sessions
18,App Ops Dev,Flux
19,Tronicon,App Ops Dev
19,Flux,EDW
19,User Sessions,Bemod
19,Goods CIM GDP,Supply Intel
19,FED,Ion
19,App Ops Support,Coupons
19,Connection,RAPT
19,Optimize,Local Third Party Feed
19,Salesforce,Performance
19,Deal Estate,Deal Platform
19,Users,Funnel
20,Tronicon,Users
20,Funnel,Deal Estate
20,Deal Platform,Salesforce
20,Performance,Optimize
20,Local Third Party Feed,Connection
20,RAPT,App Ops Support
20,Coupons,FED
20,Ion,Goods CIM GDP
20,Supply Intel,User Sessions
20,Bemod,Flux
20,EDW,App Ops Dev
21,Supply Intel,Salesforce
21,Bemod,Optimize
21,EDW,Connection
21,App Ops Dev,App Ops Support
21,Flux,FED
21,User Sessions,Goods CIM GDP
21,Tronicon,Performance
21,Local Third Party Feed,Deal Platform
21,RAPT,Funnel
21,Coupons,Users
21,Ion,Deal Estate
